#JobTime,MS_LOC_X,MS_LOC_Y,MS_LOC_Z,SP_MAGNITUDE
#Time,DD:MM:YY:HH:MM:SS,,,
25:02:10:10:57:49,684.52,-667.76,-1535.13,0.501
25:02:10:10:57:49,684.52,-667.76,-1535.13,0.501
25:02:10:11:09:11,560.8,-403.68,-1590.87,0.526
25:02:10:11:09:11,560.8,-403.68,-1590.87,0.526
25:02:10:11:09:38,620.6,-535.98,-1553.43,0.509
25:02:10:11:09:38,590.75,-676.25,-1531.46,0.413
25:02:10:11:09:38,590.75,-676.25,-1531.46,0.413
25:02:10:11:09:45,627.5,-665.44,-1541.91,0.464
25:02:10:11:09:46,606.07,-736.37,-1559.84,0.504
25:02:10:11:09:46,606.07,-736.37,-1559.84,0.504
25:02:10:11:09:47,635.96,-544.92,-1514.03,0.503
25:02:10:11:09:47,644.76,-524.61,-1580.39,0.56
25:02:10:11:09:49,647.78,-583.1,-1609.02,0.565
25:02:10:11:09:51,638.51,-585.65,-1699.17,0.7
25:02:10:11:09:52,537.45,-883.4,-1554.8,0.532
25:02:10:11:09:52,537.45,-883.4,-1554.8,0.532
25:02:10:11:09:52,614.54,-508.24,-1602.81,0.643
25:02:10:11:09:52,620.22,-490.59,-1587.61,0.555
25:02:10:11:09:53,773.14,-681.06,-1677.49,0.854
25:02:10:11:09:53,773.14,-681.06,-1677.49,0.854
25:02:10:11:09:54,641.17,-589.88,-1587.75,0.582
25:02:10:11:09:56,645.95,-638.65,-1577.2,0.492
25:02:10:11:09:57,584.8,-591.97,-1603.93,0.546
25:02:10:11:09:58,558.98,-416.84,-1578.97,0.494
25:02:10:11:09:58,558.98,-416.84,-1578.97,0.494
25:02:10:11:09:58,649.69,-563.87,-1621.85,0.779
25:02:10:11:09:59,639.58,-558.13,-1601.7,0.637
25:02:10:11:09:59,566.7,-623.48,-1619.59,0.588
25:02:10:11:09:59,636.2,-609.56,-1606.96,0.683
25:02:10:11:10:00,649.94,-702.72,-1586.82,0.565
25:02:10:11:10:01,635.84,-573.05,-1588.44,0.687
25:02:10:11:10:05,618.22,-540.73,-1582.95,0.658
25:02:10:11:10:07,609.54,-743.91,-1556.39,0.471
25:02:10:11:10:07,609.54,-743.91,-1556.39,0.471
25:02:10:11:10:08,622.63,-577.89,-1565.67,0.561
25:02:10:11:10:11,615.44,-531.23,-1582.51,0.582
25:02:10:11:10:16,592.9,-560.95,-1535,0.592
25:02:10:11:10:16,633.12,-689.26,-1572.91,0.606
